State,PC Code,PC Name,Alternative Names,Language
Andaman and Nicobar Islands,1,Andaman  and Nicobar Islands,,
Telangana,1,Adilabad,,Telugu
Telangana,2,Peddapalle,Peddapalli,Telugu
Telangana,3,Karimnagar,,Telugu
Telangana,4,Nizamabad,,Telugu
Telangana,5,Zahirabad,,Telugu
Telangana,6,Medak,,Telugu
Telangana,7,Malkajgiri,,Telugu
Telangana,8,Secunderabad,Secundrabad,Telugu
Telangana,9,Hyderabad,,Telugu
Telangana,10,Chevella,Chelvella,Telugu
Telangana,11,Mahbubnagar,"Mahabubnagar, Mahububnagar",Telugu
Telangana,12,Nagarkurnool,,Telugu
Telangana,13,Nalgonda,,Telugu
Telangana,14,Bhongir,"Bhuvangiri, Bhuvanagiri",Telugu
Telangana,15,Warangal,,Telugu
Telangana,16,Mahabubabad,Mahbubabad,Telugu
Telangana,17,Khammam,,Telugu
Andhra Pradesh,1,Araku,Aruku,Telugu
Andhra Pradesh,2,Srikakulam,,Telugu
Andhra Pradesh,3,Vizianagaram,,Telugu
Andhra Pradesh,4,Visakhapatnam,,Telugu
Andhra Pradesh,5,Anakapalli,,Telugu
Andhra Pradesh,6,Kakinada,,Telugu
Andhra Pradesh,7,Amalapuram,,Telugu
Andhra Pradesh,8,Rajahmundry,,Telugu
Andhra Pradesh,9,Narasapuram,Narsapuram,Telugu
Andhra Pradesh,10,Eluru,,Telugu
Andhra Pradesh,11,Machilipatnam,Machhilipatnam,Telugu
Andhra Pradesh,12,Vijayawada,,Telugu
Andhra Pradesh,13,Guntur,,Telugu
Andhra Pradesh,14,Narasaraopet,"Narasaropet, Narasaropeta, Narasaraopeta",Telugu
Andhra Pradesh,15,Bapatla,,Telugu
Andhra Pradesh,16,Ongole,,Telugu
Andhra Pradesh,17,Nandyal,,Telugu
Andhra Pradesh,18,Kurnool,,Telugu
Andhra Pradesh,19,Anantapur,,Telugu
Andhra Pradesh,20,Hindupur,,Telugu
Andhra Pradesh,21,Kadapa,,Telugu
Andhra Pradesh,22,Nellore,,Telugu
Andhra Pradesh,23,Tirupati,"Thirupathi, Thirupati",Telugu
Andhra Pradesh,24,Rajampet,,Telugu
Andhra Pradesh,25,Chittoor,,Telugu
Arunachal Pradesh,1,Arunachal West,,
Arunachal Pradesh,2,Arunachal East,,
Assam,1,Kokrajhar,,
Assam,2,Dhubri,,
Assam,3,Barepta,,
Assam,4,Darrang-Udalguri,,
Assam,5,Guwahati,Gauhati,
Assam,6,Diphu,,
Assam,7,Karimganj,,
Assam,8,Silchar,,
Assam,9,Nowgong,Nagaon,
Assam,10,Kaziranga,,
Assam,11,Sonitpur,,
Assam,12,Lakhimpur,,
Assam,13,Dibrugarh,,
Assam,14,Jorhat,,
Bihar,1,Valmiki Nagar,,Hindi
Bihar,2,Paschim Champaran,,Hindi
Bihar,3,Purvi Champaran,"Purba Champaran, Purbi Champaran",Hindi
Bihar,4,Sheohar,,Hindi
Bihar,5,Sitamarhi,,Hindi
Bihar,6,Madhubani,,Hindi
Bihar,7,Jhanjharpur,,Hindi
Bihar,8,Supaul,,Hindi
Bihar,9,Araria,,Hindi
Bihar,10,Kishanganj,,Hindi
Bihar,11,Katihar,,Hindi
Bihar,12,Purnia,,Hindi
Bihar,13,Madhepura,,Hindi
Bihar,14,Darbhanga,,Hindi
Bihar,15,Muzaffarpur,,Hindi
Bihar,16,Vaishali,,Hindi
Bihar,17,Gopalganj,,Hindi
Bihar,18,Siwan,,Hindi
Bihar,19,Maharajganj,,Hindi
Bihar,20,Saran,,Hindi
Bihar,21,Hajipur,,Hindi
Bihar,22,Ujiarpur,,Hindi
Bihar,23,Samastipur,,Hindi
Bihar,24,Begusarai,,Hindi
Bihar,25,Khagaria,,Hindi
Bihar,26,Bhagalpur,,Hindi
Bihar,27,Banka,,Hindi
Bihar,28,Munger,,Hindi
Bihar,29,Nalanda,,Hindi
Bihar,30,Patna Sahib,,Hindi
Bihar,31,Pataliputra,,Hindi
Bihar,32,Arrah,,Hindi
Bihar,33,Buxar,,Hindi
Bihar,34,Sasaram,,Hindi
Bihar,35,Karakat,Kerakat,Hindi
Bihar,36,Jahanabad,,Hindi
Bihar,37,Aurangabad,,Hindi
Bihar,38,Gaya,,Hindi
Bihar,39,Nawada,,Hindi
Bihar,40,Jamui,,Hindi
Chandigarh,1,Chandigarh,,Hindi
Chhattisgarh,1,Surguja,Sarguja,Hindi
Chhattisgarh,2,Raigarh,,Hindi
Chhattisgarh,3,Janjgir-Champa,,Hindi
Chhattisgarh,4,Korba,,Hindi
Chhattisgarh,5,Bilaspur,,Hindi
Chhattisgarh,6,Rajnandgaon,,Hindi
Chhattisgarh,7,Durg,,Hindi
Chhattisgarh,8,Raipur,,Hindi
Chhattisgarh,9,Mahasamund,,Hindi
Chhattisgarh,10,Bastar,,Hindi
Chhattisgarh,11,Kanker,,Hindi
Dadra & Nagar Haveli and Daman and Diu,1,Dadra and Nagar Haveli,,
Dadra & Nagar Haveli and Daman and Diu,2,Daman and diu,,Gujarati
Goa,1,North Goa,,Konkani
Goa,2,South Goa,,Konkani
Gujarat,1,Kachchh,,Gujarati
Gujarat,2,Banaskantha,,Gujarati
Gujarat,3,Patan,,Gujarati
Gujarat,4,Mahesana,Mehsana,Gujarati
Gujarat,5,Sabarkantha,,Gujarati
Gujarat,6,Gandhinagar,,Gujarati
Gujarat,7,Ahmedabad East,Amdavad East,Gujarati
Gujarat,8,Ahmedabad West,Amdavad West,Gujarati
Gujarat,9,Surendranagar,,Gujarati
